timestamp,company,ltp,total_shares,market_cap,free_float_pct,free_float_mcap
2025-07-22 10:01:00,MHSML,15.1,100993374.0,1524999947.3999999,60.39,920947468.23486
2025-07-22 10:01:00,MLDYEING,9.7,232434090.0,2254610673.0,69.43,1565376190.2639
2025-07-22 10:01:00,MTB,11.3,1081431720.0,12220178436.0,66.74000000000001,8155747088.186401
2025-07-22 10:01:00,PHARMAID,633.0,3120000.0,1974960000.0,76.42,1509264432.0
2025-07-22 10:01:00,ROBI,25.9,5237932895.0,135662461980.5,10.0,13566246198.050001
2025-07-22 10:01:00,SAIFPOWER,7.6,379338647.0,2882973717.2,59.94,1728054446.0896797
2025-07-22 10:01:00,SALAMCRST,22.0,98371100.0,2164164200.0,51.5,1114544563.0
2025-07-22 10:01:00,UNIONINS,34.7,48402260.0,1679558422.0000002,53.46,897891932.4012
2025-07-22 10:01:00,BATBC,301.6,540000000.0,162864000000.0,26.450000000000003,43077528000.0
2025-07-22 10:01:00,DBH,36.3,202867974.0,7364107456.2,48.68,3584847509.67816
2025-07-22 10:01:00,DGIC,25.3,40000000.0,1012000000.0,47.89,484646800.0
2025-07-22 10:01:00,DOMINAGE,11.6,102600000.0,1190160000.0,69.8,830731680.0
2025-07-22 10:01:00,EBLNRBMF,3.6,224261303.0,807340690.8000001,91.11,735568103.3878801
2025-07-22 10:01:00,ETL,8.8,183744000.0,1616947200.0000002,67.06,1084324792.3200002
2025-07-22 10:01:00,FUWANGFOOD,15.8,110839284.0,1751260687.2,92.15,1613786723.2548003
2025-07-22 10:01:00,GHAIL,12.9,215837621.0,2784305310.9,69.58,1937319635.32422
2025-07-22 10:01:00,ICBSONALI1,5.8,100000000.0,580000000.0,75.0,435000000.0
2025-07-22 10:01:00,INTECH,20.4,31321226.0,638953010.4,70.0,447267107.28
2025-07-22 10:01:00,KPCL,11.1,397413179.0,4411286286.9,30.010000000000005,1323827014.69869
2025-07-22 10:01:00,PRAGATILIF,112.0,32545288.0,3645072256.0,59.38,2164443905.6128
2025-07-22 10:01:00,REPUBLIC,28.4,54704156.0,1553598030.3999999,59.52,924701547.69408
2025-07-22 10:01:00,SHEPHERD,18.4,154046473.0,2834455103.2,48.52,1375277616.07264
2025-07-22 10:01:00,SQURPHARMA,216.0,886451010.0,191473418160.0,56.41,108010155184.05598
2025-07-22 10:01:00,WMSHIPYARD,9.2,235203769.0,2163874674.7999997,69.99,1514495884.8925197
