sector_code,sector_name,timestamp,previous_index,current_index,total_return,num_companies
11,Bank,2025-07-22 10:31:00,100.0,100.06599581665829,0.0006599581665830117,36
21,Cement,2025-07-22 10:31:00,100.0,99.84010274698635,-0.0015989725301365151,7
24,Ceramics Sector,2025-07-22 10:31:00,100.0,100.84420216166055,0.008442021616605554,5
26,Corporate Bond,2025-07-22 10:31:00,100.0,100.0,0.0,5
13,Engineering,2025-07-22 10:31:00,100.0,101.13853865781677,0.011385386578167622,41
28,Financial Institutions,2025-07-22 10:31:00,100.0,100.53328059976465,0.00533280599764655,23
14,Food & Allied,2025-07-22 10:31:00,100.0,100.61574779095346,0.006157477909534656,21
15,Fuel & Power,2025-07-22 10:31:00,100.0,99.84882740885853,-0.001511725911414835,23
88,G-SEC (T.Bond),2025-07-22 10:31:00,100.0,100.0,0.0,14
25,Insurance,2025-07-22 10:31:00,100.0,99.944352961672,-0.0005564703832800084,58
22,IT Sector,2025-07-22 10:31:00,100.0,100.1282255789088,0.0012822557890878915,11
16,Jute,2025-07-22 10:31:00,100.0,100.0571334826437,0.0005713348264371197,3
99,Miscellaneous,2025-07-22 10:31:00,100.0,100.111359197108,0.0011135919710801682,14
12,Mutual Funds,2025-07-22 10:31:00,100.0,100.29303518421312,0.0029303518421312075,36
19,Paper & Printing,2025-07-22 10:31:00,100.0,100.93804053865101,0.009380405386510119,6
18,Pharmaceuticals & Chemicals,2025-07-22 10:31:00,100.0,100.10182141395742,0.0010182141395742674,34
20,Services & Real Estate,2025-07-22 10:31:00,100.0,100.41428654661605,0.004142865466160542,4
23,Tannery Industries,2025-07-22 10:31:00,100.0,100.8085147885857,0.008085147885856996,6
27,Telecommunication,2025-07-22 10:31:00,100.0,100.0,0.0,3
17,Textile,2025-07-22 10:31:00,100.0,100.21111749879145,0.0021111749879145865,58
29,Travel & Leisure,2025-07-22 10:31:00,100.0,100.40052880134,0.004005288013400009,4
11,Bank,2025-07-22 10:32:00,100.06599581665829,100.14868949188846,0.0008263913685693523,36
21,Cement,2025-07-22 10:32:00,99.84010274698635,100.04767791356295,0.0020790760512601147,7
24,Ceramics Sector,2025-07-22 10:32:00,100.84420216166055,100.8175979651584,-0.0002638148344859979,5
26,Corporate Bond,2025-07-22 10:32:00,100.0,100.0,0.0,5
13,Engineering,2025-07-22 10:32:00,101.13853865781677,101.20407902324901,0.0006480256319896665,41
28,Financial Institutions,2025-07-22 10:32:00,100.53328059976465,100.51372907418278,-0.00019447814161876705,23
14,Food & Allied,2025-07-22 10:32:00,100.61574779095346,100.70701943776564,0.0009071308300745639,21
15,Fuel & Power,2025-07-22 10:32:00,99.84882740885853,99.92685946380453,0.0007815019662323553,23
88,G-SEC (T.Bond),2025-07-22 10:32:00,100.0,100.0,0.0,14
25,Insurance,2025-07-22 10:32:00,99.944352961672,99.95884480847123,0.0001449991557281019,58
22,IT Sector,2025-07-22 10:32:00,100.1282255789088,100.32592064150909,0.0019744189159178,11
16,Jute,2025-07-22 10:32:00,100.0571334826437,100.0571334826437,0.0,3
99,Miscellaneous,2025-07-22 10:32:00,100.111359197108,100.13754783262536,0.00026159504503177447,14
12,Mutual Funds,2025-07-22 10:32:00,100.29303518421312,100.15497479368543,-0.0013765700706347501,36
19,Paper & Printing,2025-07-22 10:32:00,100.93804053865101,101.05211667192766,0.0011301599740583576,6
18,Pharmaceuticals & Chemicals,2025-07-22 10:32:00,100.10182141395742,99.92754799218068,-0.001740961546104709,34
20,Services & Real Estate,2025-07-22 10:32:00,100.41428654661605,100.47351177516379,0.0005898087870218865,4
23,Tannery Industries,2025-07-22 10:32:00,100.8085147885857,100.75886182651249,-0.0004925473029469947,6
27,Telecommunication,2025-07-22 10:32:00,100.0,100.77568047936542,0.0077568047936543046,3
17,Textile,2025-07-22 10:32:00,100.21111749879145,100.35561564375024,0.0014419372676942317,58
29,Travel & Leisure,2025-07-22 10:32:00,100.40052880134,100.44169476820095,0.0004100174307088913,4
11,Bank,2025-07-22 10:33:00,100.14868949188846,100.19675429006472,0.0004799343697868,36
21,Cement,2025-07-22 10:33:00,100.04767791356295,99.85601346225222,-0.0019157311324737697,7
24,Ceramics Sector,2025-07-22 10:33:00,100.8175979651584,103.93723141402958,0.030943342351295762,5
26,Corporate Bond,2025-07-22 10:33:00,100.0,100.0,0.0,5
13,Engineering,2025-07-22 10:33:00,101.20407902324901,101.31728370703767,0.0011185782715601154,41
28,Financial Institutions,2025-07-22 10:33:00,100.51372907418278,100.4996679347521,-0.00013989272470737985,23
14,Food & Allied,2025-07-22 10:33:00,100.70701943776564,100.86440330370786,0.0015627894343500208,21
15,Fuel & Power,2025-07-22 10:33:00,99.92685946380453,99.94046374416777,0.0001361423788983107,23
88,G-SEC (T.Bond),2025-07-22 10:33:00,100.0,100.0,0.0,14
25,Insurance,2025-07-22 10:33:00,99.95884480847123,100.0049688427511,0.0004614302452999018,58
22,IT Sector,2025-07-22 10:33:00,100.32592064150909,100.46429361258213,0.0013792345007975562,11
16,Jute,2025-07-22 10:33:00,100.0571334826437,100.0571334826437,0.0,3
99,Miscellaneous,2025-07-22 10:33:00,100.13754783262536,100.13509664398251,-2.4478217171331264e-05,14
12,Mutual Funds,2025-07-22 10:33:00,100.15497479368543,100.06518817845337,-0.0008964768391886107,36
19,Paper & Printing,2025-07-22 10:33:00,101.05211667192766,101.07179475529406,0.00019473202555762002,6
18,Pharmaceuticals & Chemicals,2025-07-22 10:33:00,99.92754799218068,100.02509681411972,0.0009761954926250281,34
